route_long_name,route_short_name,agency_id,route_type,route_id,route_color,route_text_color
,001,170,3,24191,73D700,FFFFFF
,006,170,3,2615,73D700,FFFFFF
,027,170,3,532,73D700,FFFFFF
,034,170,3,10951,73D700,FFFFFF
,036,170,3,8036,73D700,FFFFFF
,037,170,3,12706,73D700,FFFFFF
,040,170,3,22028,73D700,FFFFFF
,076,170,3,16349,73D700,FFFFFF
,083,170,3,3041,73D700,FFFFFF
,091,170,3,2944,73D700,FFFFFF
,095,170,3,1624,73D700,FFFFFF
,100,39,3,9925,,
,101,170,3,14852,73D700,FFFFFF
,106,170,3,21257,73D700,FFFFFF
,12,39,0,1761,,
,12,39,3,12198,,
,127,170,3,9224,73D700,FFFFFF
,1291,170,3,2307,73D700,FFFFFF
,130,39,3,597,,
,1304A,170,3,12084,73D700,FFFFFF
,1307,170,3,18922,73D700,FFFFFF
,132,39,3,759,,
,134,39,3,20892,,
,135,39,3,7072,,
,136,39,3,13482,,
,139,39,3,16679,,
,14,39,0,5668,,
,140,39,3,1320,,
,141,170,3,9856,73D700,FFFFFF
,141,39,3,8348,,
,142,39,3,3027,,
,143,39,3,15442,,
,144,39,3,19280,,
,145,39,3,1660,,
,149,39,3,7925,,
,1491,170,3,6055,73D700,FFFFFF
,150,39,3,4567,,
,151,39,3,11446,,
,153,39,3,23982,,
,154,39,3,12877,,
,155,39,3,4583,,
,157,39,3,19799,,
,158,39,3,2436,,
,159,39,3,816,,
,16,39,0,2170,,
,160,39,3,23580,,
,161,39,3,18908,,
,162,39,3,6114,,
,163,170,3,11746,73D700,FFFFFF
,163,39,3,22426,,
,164,39,3,15233,,
,165,39,3,21306,,
,166,39,3,14448,,
,167,39,3,8235,,
,168,39,3,10622,,
,169,39,3,23077,,
,17,39,0,1167,,
,170,39,3,6902,,
,171,39,3,16508,,
,172,39,3,19524,,
,173,39,3,187,,
,174,39,3,1162,,
,175,39,3,4630,,
,176,39,3,23116,,
,177,39,3,13205,,
,178,39,3,17958,,
,179,39,3,1310,,
,18,39,0,23554,,
,180,39,3,11924,,
,181,39,3,10384,,
,182,39,3,2904,,
,183,170,3,1423,73D700,FFFFFF
,183,39,3,18468,,
,184,39,3,3502,,
,185,39,3,16622,,
,186,39,3,13407,,
,187,39,3,14453,,
,188,39,3,3546,,
,189,39,3,1273,,
,19,39,0,17603,,
,190,39,3,4711,,
,191,39,3,19199,,
,192,39,3,11843,,
,1929,170,3,19512,73D700,FFFFFF
,193,39,3,19281,,
,194,39,3,14484,,
,195,39,3,7470,,
,196,39,3,5620,,
,197,39,3,9869,,
,198,39,3,7194,,
,199,39,3,17671,,
,20,39,0,13026,,
,21,39,0,20601,,
,210,355,3,4806,,
,2100,355,3,24175,,
,211,355,3,13927,,
,211V,355,3,10132,,
,211W,355,3,287,,
,212,355,3,13077,,
,214,355,3,4449,,
,214V,355,3,3230,,
,215,355,3,7322,,
,216,355,3,3781,,
,216V,355,3,20437,,
,217,355,3,6741,,
,218,355,3,21386,,
,219,355,3,11014,,
,219V,355,3,8998,,
,220,355,3,7180,,
,220V,355,3,13886,,
,221,355,3,10247,,
,222,355,3,20156,,
,222V,355,3,8566,,
,224,355,3,18458,,
,225,355,3,1092,,
,226,355,3,17952,,
,227,355,3,21797,,
,229,355,3,17377,,
,23,39,0,3885,,
,230,355,3,5230,,
,230V,355,3,4773,,
,231,355,3,20366,,
,231V,355,3,18227,,
,232,355,3,15613,,
,233,355,3,5369,,
,234,170,3,10098,73D700,FFFFFF
,234,355,3,3021,,
,234V,355,3,3627,,
,236,355,3,21591,,
,240,355,3,9622,,
,240V,355,3,17959,,
,240W,355,3,17245,,
,241,355,3,22659,,
,242,355,3,17425,,
,242V,355,3,23043,,
,243,355,3,18904,,
,244,355,3,2239,,
,25,39,0,15344,,
,258,355,3,21543,,
,259,355,3,23558,,
,260,355,3,19866,,
,260V,355,3,15632,,
,261,355,3,6584,,
,262,355,3,21027,,
,262V,355,3,16647,,
,263,170,3,23437,73D700,FFFFFF
,263,355,3,18537,,
,263V,355,3,7603,,
,264,355,3,5698,,
,265,355,3,5104,,
,266,355,3,21961,,
,267,355,3,12373,,
,267V,355,3,16120,,
,268,355,3,22068,,
,269,355,3,14182,,
,27,39,0,8914,,
,27,39,3,24739,,
,270,355,3,13980,,
,270V,355,3,8113,,
,271,355,3,20343,,
,271V,355,3,11316,,
,27N,134,2,12276,,
,27N,72,2,5146,,
,28,39,0,8597,,
,290,355,3,15021,,
,290V,355,3,2186,,
,291,355,3,13878,,
,292,355,3,11757,,
,293,355,3,5704,,
,294,355,3,7940,,
,295,355,3,8663,,
,299,355,3,5522,,
,336,170,3,5499,73D700,FFFFFF
,371,355,3,13973,,
,4000,355,3,19676,,
,451,170,3,11403,73D700,FFFFFF
,451,355,3,16715,,
,452,355,3,6060,,
,453,355,3,13747,,
,454,355,3,678,,
,455,170,3,12242,73D700,FFFFFF
,455,355,3,9811,,
,456,170,3,16358,73D700,FFFFFF
,456,355,3,22118,,
,459,355,3,24229,,
,460,355,3,23118,,
,463,355,3,19498,,
,464,355,3,16075,,
,465,355,3,13807,,
,466,355,3,24215,,
,468,355,3,13844,,
,470,355,3,20070,,
,485,170,3,19711,73D700,FFFFFF
,486,170,3,4869,73D700,FFFFFF
,4900,355,3,2187,,
,491,170,3,2906,73D700,FFFFFF
,492,170,3,10343,73D700,FFFFFF
,50,39,3,9542,,
,51,39,3,14056,,
,513,355,3,15248,,
,513V,355,3,14805,,
,52,39,3,17445,,
,53,39,3,16790,,
,531,170,3,22377,73D700,FFFFFF
,54,39,3,4450,,
,55,39,3,3215,,
,56,39,3,18901,,
,568,355,3,2073,,
,5680,355,3,1242,,
,568V,355,3,16919,,
,57,39,3,17349,,
,58,39,3,8171,,
,59,39,3,1535,,
,60,39,3,10960,,
,62,39,3,6143,,
,62,72,2,1485,,
,6207,386,3,11553,,
,62N,119,2,19627,,
,62N,346,2,23124,,
,62N,45,2,11035,,
,63,39,3,11874,,
,68,39,3,18816,,
,690,355,3,4606,,
,693,355,3,13902,,
,695,355,3,16521,,
,696,355,3,3664,,
,701,355,3,7764,,
,702,355,3,19270,,
,704,355,3,23707,,
,705,355,3,1959,,
,706,355,3,10829,,
,710,355,3,20627,,
,711,355,3,1449,,
,719,355,3,19432,,
,720,355,3,948,,
,721,355,3,21412,,
,721V,355,3,11409,,
,722,355,3,21936,,
,723,355,3,24451,,
,724,355,3,4196,,
,725,355,3,14371,,
,725V,355,3,8674,,
,726,355,3,21513,,
,727,355,3,20692,,
,727V,355,3,21288,,
,744,355,3,23047,,
,771,355,3,16165,,
,772,355,3,7643,,
,772V,355,3,11074,,
,791,355,3,6898,,
,791V,355,3,10124,,
,8000,355,3,6416,,
,83,72,2,21991,,
,830,355,3,5379,,
,8300,355,3,23133,,
,832,355,3,3981,,
,833,355,3,7743,,
,835,355,3,3680,,
,8400,355,3,11155,,
,843,355,3,14651,,
,8500,355,3,24417,,
,851,355,3,12459,,
,852,355,3,10408,,
,853,355,3,8986,,
,854,355,3,4197,,
,855,355,3,18732,,
,856,355,3,12648,,
,857,355,3,20427,,
,858,355,3,19969,,
,859,355,3,24123,,
,860,355,3,22716,,
,861,355,3,17646,,
,862,355,3,8214,,
,863,355,3,2077,,
,864,170,3,20184,73D700,FFFFFF
,8700,355,3,4042,,
,872,355,3,22413,,
,882,170,3,14016,73D700,FFFFFF
,89,72,2,5049,,
,90,72,2,17090,,
,900,170,3,300,73D700,FFFFFF
,901,355,3,1702,,
,902,355,3,490,,
,903,355,3,2820,,
,905,355,3,12057,,
,906,355,3,22112,,
,909,355,3,18401,,
,90N,346,2,4599,,
,91N,346,2,15456,,
,943,170,3,21625,73D700,FFFFFF
,944,170,3,10788,73D700,FFFFFF
,949,355,3,18268,,
,950,355,3,19209,,
,951,170,3,20496,73D700,FFFFFF
,951,355,3,4274,,
,955,355,3,1123,,
,956,355,3,16628,,
,957,355,3,14108,,
,962,355,3,3916,,
,963,355,3,1803,,
,965,355,3,21224,,
,966,355,3,23625,,
,967,355,3,24602,,
,968,355,3,6201,,
,969,355,3,2943,,
,971,355,3,1950,,
,972,355,3,21362,,
,975,355,3,21437,,
,DRF,205,2,20769,,
,E162,39,3,15981,,
,E183,39,3,17070,,
,E185,39,3,20477,,
,E220,39,3,7462,,
,EC 62,72,2,15416,,
,EC 89,72,2,9353,,
,ECE 88,72,2,897,,
,HEX,355,3,21939,,
,ICE 11,72,2,24722,,
,ICE 18,72,2,11007,,
,ICE 24,72,2,1491,,
,ICE 25,72,2,569,,
,ICE 28,72,2,13187,,
,ICE 29,72,2,15250,,
,ICE 41,72,2,18943,,
,ICE 42,72,2,17707,,
,ICE 60,72,2,9755,,
,ICE 62,72,2,2840,,
,ICE 91,72,2,1968,,
,Lufthansa Express Bus,355,3,4018,,
,N05,170,3,6311,73D700,FFFFFF
,N106,170,3,24086,73D700,FFFFFF
,N1230,170,3,11860,73D700,FFFFFF
,N1304,170,3,12608,73D700,FFFFFF
,N1308,170,3,18297,73D700,FFFFFF
,N136,170,3,7475,73D700,FFFFFF
,N1366,170,3,50,73D700,FFFFFF
,N1385,170,3,24660,73D700,FFFFFF
,N1395,170,3,21413,73D700,FFFFFF
,N17,39,0,6582,,
,N19,39,0,19061,,
,N1909,170,3,6118,73D700,FFFFFF
,N191,170,3,11820,73D700,FFFFFF
,N1912,170,3,20965,73D700,FFFFFF
,N199,170,3,23143,73D700,FFFFFF
,N20,39,0,792,,
,N236,170,3,3092,73D700,FFFFFF
,N27,170,3,1723,73D700,FFFFFF
,N27,39,0,4139,,
,N27,39,3,12207,,
,N272,355,3,2648,,
,N277,170,3,21222,73D700,FFFFFF
,N28,170,3,22908,73D700,FFFFFF
,N280,170,3,13838,73D700,FFFFFF
,N3209,170,3,7528,73D700,FFFFFF
,N34,170,3,2726,73D700,FFFFFF
,N36,170,3,24721,73D700,FFFFFF
,N40,39,3,24426,,
,N41,39,3,16854,,
,N422,170,3,11841,73D700,FFFFFF
,N43,39,3,5367,,
,N44,39,3,12405,,
,N45,39,3,16240,,
,N452,170,3,1184,73D700,FFFFFF
,N491,170,3,10585,73D700,FFFFFF
,N531,170,3,13588,73D700,FFFFFF
,N532,170,3,24253,73D700,FFFFFF
,N72,39,3,17547,,
,N728,170,3,24040,73D700,FFFFFF
,N73,170,3,8435,73D700,FFFFFF
,N74,39,3,20037,,
,N76,170,3,23477,73D700,FFFFFF
,N80,39,3,6666,,
,N81,39,3,13254,,
,N86,170,3,16506,73D700,FFFFFF
,N867,170,3,24610,73D700,FFFFFF
,N874,170,3,22820,73D700,FFFFFF
,N880,170,3,10705,73D700,FFFFFF
,N884,170,3,15108,73D700,FFFFFF
,N885,170,3,16883,73D700,FFFFFF
,N899,170,3,24403,73D700,FFFFFF
,N900,170,3,19638,73D700,FFFFFF
,N91,170,3,21002,73D700,FFFFFF
,N93,170,3,10964,73D700,FFFFFF
,N94,170,3,10805,73D700,FFFFFF
,N947,170,3,11922,73D700,FFFFFF
,N948,170,3,20292,73D700,FFFFFF
,N95,170,3,16546,73D700,FFFFFF
,N950,170,3,9348,73D700,FFFFFF
,N951,170,3,13257,73D700,FFFFFF
,N952,170,3,1970,73D700,FFFFFF
,N965,170,3,23302,73D700,FFFFFF
,N981,170,3,9562,73D700,FFFFFF
,RB16,84,2,11998,,
,RB33,84,2,2927,,
,RB40,312,2,3255,,
,RB48,312,2,24656,,
,RB54,12,2,2209,,
,RB55,325,2,4267,,
,RB56,325,2,6924,,
,RB57,325,2,3536,,
,RB58,12,2,2750,,
,RB6,84,2,3452,,
,RB60,84,2,5584,,
,RB65,84,2,18402,,
,RB66,84,2,11870,,
,RB68,29,2,14438,,
,RB74,84,2,19256,,
,RB86,322,2,17355,,
,RB87,322,2,24478,,
,RB89,322,2,22167,,
,RE 25,433,3,12517,,
,RE1,84,2,17617,,
,RE2,84,2,13194,,
,RE23,433,2,1569,,
,RE25,433,2,10543,,
,RE3,84,2,5330,,
,RE4,312,2,7970,,
,RE5,12,2,5149,,
,RE61,84,2,519,,
,RE70,84,2,5561,,
,RE72,442,2,893,,
,RE80,442,2,21873,,
,RE89,442,2,23807,,
,RE9,442,2,21472,,
,RE96,442,2,14957,,
,S1,84,2,17601,,
,S2,84,2,1198,,
,S20,84,2,1612,,
,S3,84,2,6572,,
,S4,84,2,6835,,
,S5,84,2,7718,,
,S6,406,3,10495,,
,S6,84,2,18964,,
,S7,84,2,14472,,
,S8,84,2,23545,,
,U1,39,1,7018,,
,U2,39,1,19065,,
,U3,39,1,11224,,
,U4,39,1,24583,,
,U5,39,1,8031,,
,U6,39,1,7017,,
,U7,39,1,21795,,
,U8,39,1,23055,,
,X06,170,3,5065,73D700,FFFFFF
,X200,355,3,16441,,
,X201,355,3,21428,,
,X202,355,3,14838,,
,X203,355,3,24591,,
,X204,355,3,7220,,
,X205,355,3,13432,,
,X206,355,3,19593,,
,X208,355,3,493,,
,X30,39,3,11341,,
,X320,355,3,4006,,
,X35,39,3,23390,,
,X36,39,3,12622,,
,X660,355,3,11343,,
,X730,355,3,1278,,
,X731,355,3,8675,,
,X732,355,3,3451,,
,X733,355,3,24130,,
,X80,39,3,1001,,
,X800,355,3,23602,,
,X850,355,3,13183,,
,X900,355,3,17990,,
,X910,355,3,24012,,
,X970,355,3,3882,,
